raceId,driverRef,driver_overall_avg,driver_track_avg,driver_street_avg,driver_high_deg_avg
169,hakkinen,4.818181818181818,5.1,5.1,5.571428571428571
169,michael_schumacher,7.454545454545454,6.6,6.6,7.428571428571429
169,coulthard,4.818181818181818,5.2,5.2,5.857142857142857
169,barrichello,5.363636363636363,5.6,5.6,6.857142857142857
169,ralf_schumacher,9.545454545454545,10.0,10.0,7.857142857142857
169,frentzen,13.818181818181818,14.5,14.5,13.142857142857142
169,trulli,11.818181818181818,12.4,12.4,12.571428571428571
169,irvine,12.4,12.333333333333334,12.333333333333334,14.5
169,button,10.727272727272727,11.0,11.0,8.285714285714286
169,salo,10.545454545454545,10.6,10.6,11.0
169,wurz,12.818181818181818,12.3,12.3,12.142857142857142
169,villeneuve,10.363636363636363,11.0,11.0,11.857142857142858
169,verstappen,14.909090909090908,14.4,14.4,16.285714285714285
169,zonta,12.545454545454545,11.6,11.6,11.857142857142858
169,gene,14.363636363636363,14.3,14.3,12.428571428571429
169,rosa,15.545454545454545,15.4,15.4,14.142857142857142
169,mazzacane,13.272727272727273,12.7,12.7,12.0
169,herbert,14.454545454545455,13.8,13.8,13.857142857142858
169,diniz,13.181818181818182,13.4,13.4,14.285714285714286
169,fisichella,8.909090909090908,8.9,8.9,10.285714285714286
169,heidfeld,14.8,15.11111111111111,15.11111111111111,14.833333333333334
169,alesi,16.0,16.2,16.2,15.428571428571429
170,hakkinen,4.5,4.7272727272727275,4.7272727272727275,5.0
170,michael_schumacher,7.0,6.181818181818182,6.181818181818182,6.75
170,ralf_schumacher,9.166666666666666,9.545454545454545,9.545454545454545,7.5
170,coulthard,4.666666666666667,5.0,5.0,5.5
170,button,10.583333333333334,10.818181818181818,10.818181818181818,8.375
170,frentzen,13.166666666666666,13.727272727272727,13.727272727272727,12.25
170,villeneuve,10.5,11.090909090909092,11.090909090909092,11.875
170,herbert,14.75,14.181818181818182,14.181818181818182,14.375
170,salo,10.5,10.545454545454545,10.545454545454545,10.875
170,irvine,12.0,11.9,11.9,13.571428571428571
170,diniz,13.666666666666666,13.909090909090908,13.909090909090908,14.875
170,zonta,12.666666666666666,11.818181818181818,11.818181818181818,12.125
170,wurz,12.666666666666666,12.181818181818182,12.181818181818182,12.0
170,gene,14.416666666666666,14.363636363636363,14.363636363636363,12.75
170,verstappen,14.75,14.272727272727273,14.272727272727273,15.875
170,rosa,15.583333333333334,15.454545454545455,15.454545454545455,14.375
170,mazzacane,13.583333333333334,13.090909090909092,13.090909090909092,12.625
170,barrichello,5.25,5.454545454545454,5.454545454545454,6.5
170,alesi,16.5,16.727272727272727,16.727272727272727,16.25
170,heidfeld,15.363636363636363,15.7,15.7,15.714285714285714
170,fisichella,9.833333333333334,9.909090909090908,9.909090909090908,11.5
170,trulli,11.416666666666666,11.909090909090908,11.909090909090908,11.875
171,michael_schumacher,6.615384615384615,5.833333333333333,5.833333333333333,7.5
171,hakkinen,4.230769230769231,4.416666666666667,4.416666666666667,3.5
171,ralf_schumacher,8.692307692307692,9.0,9.0,12.5
171,verstappen,14.76923076923077,14.333333333333334,14.333333333333334,12.5
171,wurz,12.692307692307692,12.25,12.25,14.0
171,zonta,12.615384615384615,11.833333333333334,11.833333333333334,13.75
171,salo,10.384615384615385,10.416666666666666,10.416666666666666,9.75
171,diniz,13.461538461538462,13.666666666666666,13.666666666666666,11.25
171,gene,14.384615384615385,14.333333333333334,14.333333333333334,17.75
171,mazzacane,13.846153846153847,13.416666666666666,13.416666666666666,15.5
171,fisichella,10.692307692307692,10.833333333333334,10.833333333333334,6.5
171,alesi,16.692307692307693,16.916666666666668,16.916666666666668,17.0
171,heidfeld,15.75,16.09090909090909,16.09090909090909,14.75
171,villeneuve,10.23076923076923,10.75,10.75,7.75
171,button,10.153846153846153,10.333333333333334,10.333333333333334,15.0
171,herbert,14.23076923076923,13.666666666666666,13.666666666666666,15.5
171,barrichello,6.230769230769231,6.5,6.5,2.75
171,coulthard,4.615384615384615,4.916666666666667,4.916666666666667,3.0
171,trulli,12.23076923076923,12.75,12.75,10.5
171,frentzen,12.615384615384615,13.083333333333334,13.083333333333334,15.0
171,rosa,15.615384615384615,15.5,15.5,18.0
171,irvine,11.833333333333334,11.727272727272727,11.727272727272727,9.25
172,michael_schumacher,6.214285714285714,6.214285714285714,10.5,6.2
172,barrichello,7.0,7.0,10.5,5.6
172,frentzen,13.142857142857142,13.142857142857142,10.5,16.0
172,villeneuve,10.5,10.5,10.5,9.0
172,coulthard,5.571428571428571,5.571428571428571,10.5,6.0
172,zonta,12.142857142857142,12.142857142857142,10.5,12.2
172,irvine,12.615384615384615,12.615384615384615,10.5,11.8
172,diniz,13.071428571428571,13.071428571428571,10.5,10.6
172,heidfeld,15.538461538461538,15.538461538461538,10.5,14.4
172,wurz,12.142857142857142,12.142857142857142,10.5,12.2
172,herbert,14.357142857142858,14.357142857142858,10.5,15.6
172,gene,14.0,14.0,10.5,16.0
172,alesi,16.357142857142858,16.357142857142858,10.5,16.0
172,mazzacane,13.571428571428571,13.571428571428571,10.5,14.4
172,ralf_schumacher,8.285714285714286,8.285714285714286,10.5,10.6
172,rosa,16.0,16.0,10.5,18.6
172,fisichella,10.714285714285714,10.714285714285714,10.5,7.4
172,verstappen,14.0,14.0,10.5,10.8
172,hakkinen,4.071428571428571,4.071428571428571,10.5,3.2
172,salo,10.142857142857142,10.142857142857142,10.5,9.2
172,button,10.5,10.5,10.5,15.0
172,trulli,12.714285714285714,12.714285714285714,10.5,12.2
173,michael_schumacher,5.866666666666666,5.461538461538462,5.461538461538462,6.222222222222222
173,hakkinen,5.066666666666666,4.230769230769231,4.230769230769231,4.555555555555555
173,coulthard,5.533333333333333,5.923076923076923,5.923076923076923,5.333333333333333
173,barrichello,6.666666666666667,7.3076923076923075,7.3076923076923075,7.777777777777778
173,button,11.2,10.692307692307692,10.692307692307692,8.0
173,villeneuve,10.066666666666666,11.0,11.0,11.333333333333334
173,herbert,14.133333333333333,13.846153846153847,13.846153846153847,13.666666666666666
173,irvine,12.214285714285714,12.583333333333334,12.583333333333334,13.125
173,zonta,11.733333333333333,11.384615384615385,11.384615384615385,12.11111111111111
173,salo,10.8,10.153846153846153,10.153846153846153,10.666666666666666
173,diniz,12.733333333333333,13.23076923076923,13.23076923076923,14.444444444444445
173,rosa,16.0,15.923076923076923,15.923076923076923,14.555555555555555
173,trulli,13.333333333333334,13.23076923076923,13.23076923076923,13.0
173,fisichella,11.133333333333333,10.846153846153847,10.846153846153847,12.555555555555555
